check,value,pass,note
probability_rows_sum_to_one,1.3322676295501878e-15,True,max absolute row probability sum error
transition_rows_sum_to_one_1p,0.0,True,max absolute transition row sum error on non-empty rows
transition_rows_sum_to_one_3p,0.0,True,max absolute transition row sum error on non-empty rows
transition_rows_sum_to_one_6p,0.0,True,max absolute transition row sum error on non-empty rows
transition_rows_sum_to_one_12p,0.0,True,max absolute transition row sum error on non-empty rows
regime_min_frequency_target,0.14925373134328357,True,target minimum frequency is 5%
no_target_columns_used,0.0,True,model feature list excludes target/future columns
gmm_seed,63.0,True,selected seed after retrying for regime balance
gmm_covariance_type,,True,selected covariance type: full
