regime,rows,freq_pct,start,end,avg_boundary_score,avg_fwd_1p_pct,hit_rate_1p_pct,avg_fwd_3p_pct,hit_rate_3p_pct,avg_fwd_6p_pct,hit_rate_6p_pct,avg_fwd_12p_pct,hit_rate_12p_pct,avg_qqq_rv_3p,avg_qqq_drawdown_12p,avg_vix_level_z,avg_hy_oas_level_z,avg_ndx_pct_above_sma50,episodes,avg_episode_periods,median_episode_periods,max_episode_periods
risk_on_growth,58,21.722846441947567,2007-10-31,2026-06-15,0.00022622800458208832,0.4178568913897195,54.385964912280706,1.9948994546836147,67.85714285714286,5.947435743336415,76.78571428571429,13.94494329082612,86.27450980392157,0.12173203749380476,-0.004029762445119843,-0.4859830499306106,-1.0788846137897579,0.697912559577063,23,2.5217391304347827,1.0,9
fragile_growth,44,16.479400749063668,2006-10-31,2026-04-30,8.537955768595456e-05,2.9629282230241025,75.0,8.055672753145883,83.72093023255815,12.807681192773614,88.37209302325581,25.528234057210312,95.34883720930233,0.23111301351567057,-0.07367956943911039,-0.08371012209778399,-0.532494409116706,0.7624835734694383,23,1.9130434782608696,1.0,6
macro_tightening,121,45.31835205992509,2004-04-30,2026-02-28,3.057069211183223e-08,1.122483723438901,61.98347107438017,3.815276260995991,78.51239669421489,7.4649183834657755,78.15126050420169,15.112349691933849,88.13559322033898,0.1284807652189666,-0.020587171297515056,-0.3183940333952484,-0.8717159903036016,0.6051578654654324,33,3.6666666666666665,2.0,17
risk_off_stress,44,16.479400749063668,2004-08-31,2026-03-31,0.0001738161055292453,1.6419205574688738,59.09090909090909,3.5334872475669923,63.63636363636363,8.620229437292133,67.44186046511628,17.10976584489553,76.74418604651163,0.21868070723409413,-0.16402071575747346,1.6397168184452846,0.5466162176598072,0.29730879353766587,21,2.0952380952380953,2.0,7
