horizon_periods,current_regime,feature,family,stay_mean,switch_mean,switch_minus_stay,effect_size,stay_rows,switch_rows,abs_effect_size
1,fragile_growth,unrate_level_z,macro_growth,-0.6849912909403262,0.18611507964317553,0.8711063705835017,0.6088751811066474,35,22,0.6088751811066474
1,fragile_growth,move_chg_3p,cross_asset,-0.8691548129729735,-12.06901270152938,-11.199857888556405,-0.5422890991673516,37,23,0.5422890991673516
1,fragile_growth,qqq_ret_3p,qqq_state,0.03941972726953975,0.07715854883421994,0.03773882156468018,0.5340749142193342,37,23,0.5340749142193342
1,fragile_growth,vix_chg_3p,cross_asset,-1.6608100000000001,-4.655218287406591,-2.9944082874065905,-0.5083391191065224,37,23,0.5083391191065224
1,fragile_growth,indpro_yoy_chg_3p,macro_growth,0.0017796723640944232,-0.012378484944754924,-0.014158157308849346,-0.5079171160490473,35,22,0.5079171160490473
1,fragile_growth,qqq_minus_spy_ret_3p,cross_asset,0.011068519352190451,0.03481364185974318,0.02374512250755273,0.5040606792837293,37,23,0.5040606792837293
1,fragile_growth,ndx_current_top10_market_cap_weight_pct,breadth_concentration,67.42971569121408,67.42971569121413,4.263256414560601e-14,0.4958158260214506,37,23,0.4958158260214506
1,fragile_growth,sahm_realtime_level,macro_growth,0.12864864864864864,0.44826086956521743,0.3196122209165688,0.47325719750775813,37,23,0.47325719750775813
1,fragile_growth,sahm_realtime_chg_3p,macro_growth,-0.04513513513513513,0.2073913043478261,0.2525264394829612,0.4185971574642757,37,23,0.4185971574642757
1,fragile_growth,unrate_chg_6p,macro_growth,-0.0891891891891892,0.5173913043478262,0.6065804935370154,0.4026056220621689,37,23,0.4026056220621689
1,fragile_growth,sahm_realtime_trigger,macro_growth,0.05405405405405406,0.17391304347826086,0.11985898942420681,0.3961865589830629,37,23,0.3961865589830629
1,fragile_growth,nfci_chg_3p,macro_credit,0.06305405405405405,-0.036913043478260854,-0.0999670975323149,-0.381323024339022,37,23,0.381323024339022
1,fragile_growth,ndx_pct_above_sma200_chg_3p,breadth_concentration,0.06815049388744421,0.1373080835332078,0.0691575896457636,0.3542337162591975,37,23,0.3542337162591975
1,fragile_growth,payems_yoy_chg_3p,macro_growth,-0.0014351248582426042,-0.008451955029759857,-0.007016830171517253,-0.34448529676815576,35,22,0.34448529676815576
