horizon_periods,current_regime,feature,family,stay_mean,switch_mean,switch_minus_stay,effect_size,stay_rows,switch_rows,abs_effect_size
4,macro_tightening,dgs2_level_z,macro_rates,0.7767827910982652,-0.3938648531937305,-1.1706476442919957,-0.9365298203245898,706,26,0.9365298203245898
4,macro_tightening,unrate_level_z,macro_growth,-1.0585399381299507,-0.034472067211255474,1.0240678709186952,0.9119513865531468,706,26,0.9119513865531468
4,macro_tightening,sahm_realtime_level,macro_growth,0.007190860215053763,0.1273076923076923,0.12011683209263853,0.8514493954585874,744,26,0.8514493954585874
4,macro_tightening,sahm_realtime_chg_13p,macro_growth,-0.0029822161422708615,0.08038461538461537,0.08336683152688623,0.7527915902007359,731,26,0.7527915902007359
4,macro_tightening,qqew_vs_qqq_nav,breadth_concentration,0.7766690723594849,0.6529417984802931,-0.1237272738791918,-0.7127777638442041,744,26,0.7127777638442041
4,macro_tightening,qqq_rv_short_vs_main,qqq_state,-0.05347673862444123,0.20088517198334113,0.25436191060778235,0.6830684894133916,744,26,0.6830684894133916
4,macro_tightening,vix_chg_13p,cross_asset,-0.43413966305558394,2.2880769230769227,2.7222165861325065,0.5816397620619165,744,26,0.5816397620619165
4,macro_tightening,nfci_chg_13p,macro_credit,-0.008121130551816956,0.036499999999999984,0.04462113055181694,0.5799372819455916,743,26,0.5799372819455916
4,macro_tightening,policy_rate_chg_13p,macro_rates,0.08514784946236559,-0.05961538461538462,-0.1447632340777502,-0.5790912039706742,744,26,0.5790912039706742
4,macro_tightening,pce_yoy_chg_13p,macro_growth,-4.4557093539967344e-05,0.0025961571168317157,0.002640714210371683,0.5246137623563539,679,26,0.5246137623563539
4,macro_tightening,dgs2_chg_13p,macro_rates,0.09891129032258066,-0.05538461538461529,-0.15429590570719595,-0.5144008869510773,744,26,0.5144008869510773
4,macro_tightening,qqq_minus_spy_ret_13p,cross_asset,0.008214252341453619,0.025233613673454357,0.017019361332000736,0.5027481820385972,744,26,0.5027481820385972
4,macro_tightening,rsafs_yoy_chg_13p,macro_growth,-0.0011272333115229455,0.005746572661735531,0.006873805973258477,0.4439475514574765,679,26,0.4439475514574765
4,macro_tightening,move_chg_13p,cross_asset,-2.5507734794715535,3.424784762307693,5.975558241779247,0.4260621770041219,744,26,0.4260621770041219
4,macro_tightening,qqq_dist_sma40p,qqq_state,0.0667855140637407,0.09095552173159917,0.02417000766785847,0.42194450353131113,738,26,0.42194450353131113
4,macro_tightening,breakeven_curve_10y5y_level_z,macro_rates,-0.19396990635212713,-0.6617545996359961,-0.467784693283869,-0.420190222976218,706,26,0.420190222976218
4,macro_tightening,qqq_above_sma40p,qqq_state,0.8602150537634409,1.0,0.13978494623655913,0.408709894769659,744,26,0.408709894769659
4,macro_tightening,baa10y_chg_13p,macro_credit,-0.054892473118279564,0.02692307692307694,0.0818155500413565,0.4021134463012505,744,26,0.4021134463012505
