date,frequency,current_regime,current_confidence,boundary_score,horizon_periods,horizon_label,prob_transition,prob_next_risk_on_or_fragile,prob_next_tightening_or_stress,prob_current_risk_on_growth,prob_next_risk_on_growth,prob_current_fragile_growth,prob_next_fragile_growth,prob_current_macro_tightening,prob_next_macro_tightening,prob_current_risk_off_stress,prob_next_risk_off_stress
2026-05-21,weekly,macro_tightening,1.0,0.0,1,1 week,0.01872659176029967,0.0024968789013732834,0.9975031210986267,0.0,0.0012484394506866417,1.6201392484538912e-198,0.0012484394506866417,1.0,0.9812734082397003,4.258262672126006e-56,0.016229712858926344
2026-05-21,weekly,macro_tightening,1.0,0.0,4,4 weeks,0.06015037593984962,0.008771929824561403,0.9912280701754386,0.0,0.0037593984962406013,1.6201392484538912e-198,0.005012531328320802,1.0,0.9398496240601504,4.258262672126006e-56,0.05137844611528822
2026-05-21,weekly,macro_tightening,1.0,0.0,13,13 weeks,0.13005050505050508,0.03787878787878788,0.962121212121212,0.0,8.085308871125328e-58,1.6201392484538912e-198,0.03787878787878788,1.0,0.8699494949494949,4.258262672126006e-56,0.09217171717171717
2026-05-21,weekly,macro_tightening,1.0,0.0,26,26 weeks,0.17201540436456997,0.07188703465982028,0.9281129653401797,0.0,0.007702182284980745,1.6201392484538912e-198,0.06418485237483953,1.0,0.82798459563543,4.258262672126006e-56,0.10012836970474968
